setting,project,top_k,ground_truth,n_test_issues,frac_bug_mean,frac_bug_majority,frac_bug_p25,frac_bug_p75
agnostic,_overall,3,bug,1100,0.6318181818181818,0.6563636363636364,0.3333333333333333,1.0
agnostic,_overall,3,feature,1100,0.27878787878787875,0.24,0.0,0.3333333333333333
agnostic,_overall,3,question,1100,0.3090909090909091,0.2636363636363636,0.0,0.6666666666666666
agnostic,_overall,9,bug,1100,0.6092929292929292,0.6536363636363637,0.4444444444444444,0.8888888888888888
agnostic,_overall,9,feature,1100,0.28878787878787876,0.20363636363636364,0.1111111111111111,0.4444444444444444
agnostic,_overall,9,question,1100,0.32515151515151514,0.2381818181818182,0.1111111111111111,0.4444444444444444
agnostic,_overall,30,bug,1100,0.5818181818181818,0.6036363636363636,0.4,0.7333333333333333
agnostic,_overall,30,feature,1100,0.3065454545454545,0.1318181818181818,0.16666666666666666,0.43333333333333335
agnostic,_overall,30,question,1100,0.3558181818181818,0.2081818181818182,0.2,0.5
project_specific,ansible_ansible,3,bug,100,0.68,0.75,0.5833333333333333,1.0
project_specific,ansible_ansible,3,feature,100,0.24333333333333332,0.2,0.0,0.3333333333333333
project_specific,ansible_ansible,3,question,100,0.3633333333333333,0.33,0.0,0.6666666666666666
project_specific,ansible_ansible,9,bug,100,0.6111111111111112,0.7,0.4444444444444444,0.7777777777777778
project_specific,ansible_ansible,9,feature,100,0.23444444444444443,0.17,0.0,0.3333333333333333
project_specific,ansible_ansible,9,question,100,0.3677777777777777,0.32,0.2222222222222222,0.5555555555555556
project_specific,ansible_ansible,30,bug,100,0.5413333333333334,0.59,0.4,0.7
project_specific,ansible_ansible,30,feature,100,0.25233333333333335,0.04,0.13333333333333333,0.3333333333333333
project_specific,ansible_ansible,30,question,100,0.3563333333333333,0.16,0.26666666666666666,0.4666666666666667
project_specific,bitcoin_bitcoin,3,bug,100,0.5733333333333333,0.63,0.3333333333333333,1.0
project_specific,bitcoin_bitcoin,3,feature,100,0.21666666666666662,0.16,0.0,0.3333333333333333
project_specific,bitcoin_bitcoin,3,question,100,0.4333333333333333,0.41,0.3333333333333333,0.6666666666666666
project_specific,bitcoin_bitcoin,9,bug,100,0.5711111111111111,0.57,0.3333333333333333,0.7777777777777778
project_specific,bitcoin_bitcoin,9,feature,100,0.2455555555555555,0.12,0.1111111111111111,0.4444444444444444
project_specific,bitcoin_bitcoin,9,question,100,0.41222222222222227,0.31,0.3333333333333333,0.5555555555555556
project_specific,bitcoin_bitcoin,30,bug,100,0.562,0.61,0.43333333333333335,0.6749999999999999
project_specific,bitcoin_bitcoin,30,feature,100,0.2876666666666667,0.07,0.16666666666666666,0.43333333333333335
project_specific,bitcoin_bitcoin,30,question,100,0.44799999999999995,0.36,0.36666666666666664,0.5333333333333333
project_specific,dart-lang_sdk,3,bug,100,0.7166666666666669,0.78,0.6666666666666666,1.0
project_specific,dart-lang_sdk,3,feature,100,0.28,0.2,0.0,0.3333333333333333
