model,approach,setting,project,k_label,k,f1_macro,accuracy,f1_bug,f1_feature,f1_question,precision_bug,recall_bug,precision_feature,recall_feature,precision_question,recall_question,invalid_rate,source
Qwen-7B,ragtag,agnostic,dotnet_roslyn,k6,6.0,0.6342,0.6567,0.6559,0.8152,0.4317,0.551,0.81,0.7748,0.86,0.7692,0.3,0.01,derived_from_predictions
Qwen-7B,ragtag,agnostic,facebook_react,k9,9.0,0.78,0.7867,0.8033,0.8454,0.6914,0.6806,0.98,0.8723,0.82,0.9032,0.56,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,flutter_flutter,k6,6.0,0.7285,0.7033,0.6832,0.8532,0.649,0.6765,0.69,0.7881,0.93,0.9608,0.49,0.0967,derived_from_predictions
Qwen-7B,ragtag,agnostic,kubernetes_kubernetes,k6,6.0,0.8056,0.79,0.7847,0.9091,0.7229,0.7523,0.82,0.8716,0.95,0.9091,0.6,0.0533,derived_from_predictions
Qwen-7B,ragtag,agnostic,microsoft_TypeScript,k6,6.0,0.6041,0.6333,0.6926,0.7255,0.3942,0.5669,0.89,0.7115,0.74,0.7297,0.27,0.0067,derived_from_predictions
Qwen-7B,ragtag,agnostic,microsoft_vscode,k6,6.0,0.6278,0.63,0.6463,0.7407,0.4965,0.5736,0.74,0.6897,0.8,0.8537,0.35,0.0467,derived_from_predictions
Qwen-7B,ragtag,agnostic,opencv_opencv,k6,6.0,0.702,0.69,0.6667,0.8169,0.6225,0.6134,0.73,0.7699,0.87,0.9216,0.47,0.0567,derived_from_predictions
Qwen-7B,ragtag,agnostic,tensorflow_tensorflow,k3,3.0,0.7738,0.7767,0.8333,0.7841,0.7041,0.7422,0.95,0.9079,0.69,0.7188,0.69,0.0,derived_from_predictions
Qwen-7B,ragtag,project_specific,ansible_ansible,k3,3.0,0.6916,0.7233,0.8198,0.7623,0.4925,0.7459,0.91,0.6458,0.93,0.9706,0.33,0.0,eval_csv
Qwen-7B,ragtag,project_specific,bitcoin_bitcoin,k9,9.0,0.7332,0.7267,0.7393,0.8692,0.5912,0.7027,0.78,0.8158,0.93,0.7966,0.47,0.0533,eval_csv
Qwen-7B,ragtag,project_specific,dart-lang_sdk,k9,9.0,0.8023,0.8033,0.8214,0.8309,0.7545,0.7419,0.92,0.8037,0.86,0.9403,0.63,0.0067,eval_csv
Qwen-7B,ragtag,project_specific,dotnet_roslyn,k9,9.0,0.6252,0.6433,0.6364,0.8057,0.4336,0.5423,0.77,0.7658,0.85,0.7209,0.31,0.0133,eval_csv
Qwen-7B,ragtag,project_specific,facebook_react,k9,9.0,0.7883,0.7933,0.8033,0.8542,0.7073,0.6806,0.98,0.8913,0.82,0.9062,0.58,0.0,eval_csv
Qwen-7B,ragtag,project_specific,flutter_flutter,k6,6.0,0.7553,0.7267,0.6995,0.8826,0.6839,0.6893,0.71,0.8319,0.94,0.9636,0.53,0.0967,eval_csv
Qwen-7B,ragtag,project_specific,kubernetes_kubernetes,k6,6.0,0.8171,0.8,0.7923,0.9179,0.7412,0.7664,0.82,0.8879,0.95,0.9,0.63,0.0533,eval_csv
Qwen-7B,ragtag,project_specific,microsoft_TypeScript,k9,9.0,0.6032,0.62,0.6482,0.75,0.4113,0.5359,0.82,0.75,0.75,0.7073,0.29,0.02,eval_csv
Qwen-7B,ragtag,project_specific,microsoft_vscode,k3,3.0,0.635,0.66,0.6693,0.783,0.4526,0.5563,0.84,0.7411,0.83,0.8378,0.31,0.0,eval_csv
Qwen-7B,ragtag,project_specific,opencv_opencv,k3,3.0,0.694,0.7033,0.6917,0.8058,0.5844,0.5929,0.83,0.783,0.83,0.8333,0.45,0.0,eval_csv
Qwen-7B,ragtag,project_specific,tensorflow_tensorflow,k3,3.0,0.7701,0.7733,0.8333,0.7797,0.6974,0.7422,0.95,0.8961,0.69,0.7158,0.68,0.0,eval_csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k9,9.0,0.6946,0.7367,0.8609,0.8136,0.4094,0.7615,0.99,0.7059,0.96,0.963,0.26,0.0233,eval_csv
Qwen-14B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,9.0,0.731,0.73,0.7177,0.8598,0.6154,0.6881,0.75,0.807,0.92,0.7536,0.52,0.0267,eval_csv
Qwen-14B,ragtag_debias,project_specific,dart-lang_sdk,k9,9.0,0.8493,0.8467,0.8297,0.8783,0.8398,0.7364,0.95,0.9326,0.83,0.9383,0.76,0.0033,eval_csv
Qwen-14B,ragtag_debias,project_specific,dotnet_roslyn,k9,9.0,0.6683,0.6767,0.6778,0.798,0.529,0.5827,0.81,0.7864,0.81,0.7455,0.41,0.01,eval_csv
Qwen-14B,ragtag_debias,project_specific,facebook_react,k9,9.0,0.808,0.81,0.8133,0.871,0.7399,0.695,0.98,0.9419,0.81,0.8767,0.64,0.0,eval_csv
Qwen-14B,ragtag_debias,project_specific,flutter_flutter,k6,6.0,0.7701,0.76,0.7207,0.8762,0.7134,0.6557,0.8,0.8364,0.92,0.9825,0.56,0.0367,eval_csv
Qwen-14B,ragtag_debias,project_specific,kubernetes_kubernetes,k9,9.0,0.8585,0.8367,0.8458,0.9453,0.7845,0.8416,0.85,0.9406,0.95,0.8765,0.71,0.0567,eval_csv
Qwen-14B,ragtag_debias,project_specific,microsoft_TypeScript,k9,9.0,0.6434,0.65,0.6694,0.7732,0.4875,0.5704,0.81,0.7979,0.75,0.65,0.39,0.0133,eval_csv
Qwen-14B,ragtag_debias,project_specific,microsoft_vscode,k9,9.0,0.7004,0.6867,0.6762,0.7583,0.6667,0.6455,0.71,0.7207,0.8,0.8462,0.55,0.0467,eval_csv
Qwen-14B,ragtag_debias,project_specific,opencv_opencv,k9,9.0,0.7087,0.6933,0.6727,0.84,0.6135,0.6167,0.74,0.84,0.84,0.7937,0.5,0.0567,eval_csv
Qwen-14B,ragtag_debias,project_specific,tensorflow_tensorflow,k6,6.0,0.7734,0.7667,0.8018,0.7931,0.7254,0.7165,0.91,0.9324,0.69,0.7527,0.7,0.02,eval_csv
Qwen-32B,ragtag_debias,project_specific,ansible_ansible,k9,9.0,0.7345,0.7567,0.8739,0.8261,0.5036,0.7951,0.97,0.7308,0.95,0.8974,0.35,0.03,eval_csv
Qwen-32B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,9.0,0.7737,0.7667,0.7565,0.8804,0.6842,0.7849,0.73,0.844,0.92,0.7222,0.65,0.0267,eval_csv
Qwen-32B,ragtag_debias,project_specific,dart-lang_sdk,k6,6.0,0.8708,0.87,0.8571,0.8842,0.871,0.7742,0.96,0.9333,0.84,0.9419,0.81,0.0,eval_csv
Qwen-32B,ragtag_debias,project_specific,dotnet_roslyn,k6,6.0,0.6771,0.6867,0.6857,0.8,0.5455,0.5793,0.84,0.8,0.8,0.7778,0.42,0.0033,eval_csv
Qwen-32B,ragtag_debias,project_specific,facebook_react,k3,3.0,0.8213,0.8233,0.8235,0.8889,0.7514,0.7101,0.98,0.9438,0.84,0.8904,0.65,0.0,eval_csv
Qwen-32B,ragtag_debias,project_specific,flutter_flutter,k6,6.0,0.7934,0.78,0.7418,0.8738,0.7647,0.6991,0.79,0.8491,0.9,0.9286,0.65,0.0367,eval_csv
Qwen-32B,ragtag_debias,project_specific,kubernetes_kubernetes,k9,9.0,0.8804,0.8567,0.87,0.9495,0.8216,0.87,0.87,0.9592,0.94,0.8941,0.76,0.0567,eval_csv
Qwen-32B,ragtag_debias,project_specific,microsoft_TypeScript,k9,9.0,0.6756,0.6767,0.6867,0.7653,0.5749,0.6015,0.8,0.7812,0.75,0.7164,0.48,0.0133,eval_csv
Qwen-32B,ragtag_debias,project_specific,microsoft_vscode,k9,9.0,0.7549,0.7367,0.71,0.7751,0.7797,0.71,0.71,0.7431,0.81,0.8961,0.69,0.0467,eval_csv
Qwen-32B,ragtag_debias,project_specific,opencv_opencv,k9,9.0,0.7812,0.76,0.7549,0.8485,0.7403,0.7404,0.77,0.8571,0.84,0.8272,0.67,0.0567,eval_csv
Qwen-32B,ragtag_debias,project_specific,tensorflow_tensorflow,k6,6.0,0.7981,0.79,0.8182,0.8161,0.76,0.75,0.9,0.9595,0.71,0.76,0.76,0.02,eval_csv
Qwen-3B,ragtag_debias,project_specific,ansible_ansible,k1,1.0,0.7065,0.7267,0.7895,0.8125,0.5175,0.7031,0.9,0.7339,0.91,0.8605,0.37,0.0167,eval_csv
Qwen-3B,ragtag_debias,project_specific,bitcoin_bitcoin,k6,6.0,0.7091,0.7033,0.6243,0.867,0.6359,0.7397,0.54,0.8544,0.88,0.5897,0.69,0.0233,eval_csv
Qwen-3B,ragtag_debias,project_specific,dart-lang_sdk,k9,9.0,0.7776,0.7767,0.7538,0.8317,0.7475,0.7576,0.75,0.8235,0.84,0.7551,0.74,0.0033,eval_csv
Qwen-3B,ragtag_debias,project_specific,dotnet_roslyn,k3,3.0,0.6236,0.6233,0.5871,0.7538,0.53,0.5842,0.59,0.7576,0.75,0.53,0.53,0.0,eval_csv
Qwen-3B,ragtag_debias,project_specific,facebook_react,k6,6.0,0.7569,0.7633,0.8033,0.7892,0.6784,0.6806,0.98,0.8588,0.73,0.8169,0.58,0.0,eval_csv
Qwen-3B,ragtag_debias,project_specific,flutter_flutter,k9,9.0,0.7153,0.6933,0.6347,0.8165,0.6947,0.791,0.53,0.7542,0.89,0.7333,0.66,0.0833,eval_csv
Qwen-3B,ragtag_debias,project_specific,kubernetes_kubernetes,k6,6.0,0.8467,0.8333,0.8,0.9223,0.8177,0.9,0.72,0.8962,0.95,0.8058,0.83,0.0367,eval_csv
Qwen-3B,ragtag_debias,project_specific,microsoft_TypeScript,k1,1.0,0.6128,0.6133,0.6697,0.6995,0.4694,0.6116,0.74,0.7711,0.64,0.4792,0.46,0.0,eval_csv
Qwen-3B,ragtag_debias,project_specific,microsoft_vscode,k9,9.0,0.6391,0.6333,0.535,0.7583,0.6239,0.7368,0.42,0.7207,0.8,0.5763,0.68,0.0467,eval_csv
Qwen-3B,ragtag_debias,project_specific,opencv_opencv,k6,6.0,0.7336,0.7333,0.6467,0.8317,0.7225,0.806,0.54,0.8235,0.84,0.6457,0.82,0.0133,eval_csv
Qwen-3B,ragtag_debias,project_specific,tensorflow_tensorflow,k6,6.0,0.7482,0.7433,0.8108,0.75,0.6837,0.7377,0.9,0.8684,0.66,0.6979,0.67,0.02,eval_csv
Qwen-7B,ragtag_debias,project_specific,ansible_ansible,k9,9.0,0.7153,0.74,0.8235,0.7899,0.5324,0.7521,0.91,0.6812,0.94,0.9487,0.37,0.0067,eval_csv
Qwen-7B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,9.0,0.7507,0.7467,0.7474,0.8455,0.6593,0.7889,0.71,0.775,0.93,0.7317,0.6,0.0267,eval_csv
Qwen-7B,ragtag_debias,project_specific,dart-lang_sdk,k3,3.0,0.8153,0.8167,0.8139,0.8485,0.7836,0.7176,0.94,0.8571,0.84,0.9437,0.67,0.0,eval_csv
Qwen-7B,ragtag_debias,project_specific,dotnet_roslyn,k6,6.0,0.6605,0.6767,0.6805,0.8077,0.4933,0.5816,0.82,0.7778,0.84,0.74,0.37,0.0033,eval_csv
Qwen-7B,ragtag_debias,project_specific,facebook_react,k9,9.0,0.7885,0.7933,0.8066,0.8482,0.7108,0.6853,0.98,0.8901,0.81,0.8939,0.59,0.0,eval_csv
Qwen-7B,ragtag_debias,project_specific,flutter_flutter,k6,6.0,0.7738,0.7667,0.7512,0.8704,0.7,0.708,0.8,0.8103,0.94,0.9333,0.56,0.0367,eval_csv
Qwen-7B,ragtag_debias,project_specific,kubernetes_kubernetes,k6,6.0,0.8378,0.8233,0.8077,0.9261,0.7797,0.7778,0.84,0.9126,0.94,0.8961,0.69,0.04,eval_csv
Qwen-7B,ragtag_debias,project_specific,microsoft_TypeScript,k6,6.0,0.6123,0.6333,0.6721,0.7343,0.4306,0.5646,0.83,0.7103,0.76,0.7045,0.31,0.0067,eval_csv
Qwen-7B,ragtag_debias,project_specific,microsoft_vscode,k9,9.0,0.6609,0.6533,0.6445,0.7523,0.586,0.6126,0.68,0.6949,0.82,0.807,0.46,0.0467,eval_csv
Qwen-7B,ragtag_debias,project_specific,opencv_opencv,k6,6.0,0.7159,0.7167,0.6906,0.8269,0.6303,0.626,0.77,0.7963,0.86,0.8,0.52,0.0133,eval_csv
Qwen-7B,ragtag_debias,project_specific,tensorflow_tensorflow,k6,6.0,0.7698,0.7633,0.8111,0.7709,0.7273,0.7521,0.88,0.8734,0.69,0.7347,0.72,0.02,eval_csv
Qwen-14B,ft,agnostic,ansible_ansible,finetune_fixed,,0.7852,0.8,0.861,0.8571,0.6375,0.7805,0.96,0.7949,0.93,0.85,0.51,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,bitcoin_bitcoin,finetune_fixed,,0.671,0.6667,0.6082,0.7869,0.6179,0.7324,0.52,0.8675,0.72,0.5205,0.76,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,dart-lang_sdk,finetune_fixed,,0.8346,0.8333,0.8156,0.8696,0.8186,0.9241,0.73,0.9524,0.8,0.708,0.97,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,dotnet_roslyn,finetune_fixed,,0.6914,0.7,0.5844,0.7789,0.7109,0.8333,0.45,0.8222,0.74,0.5833,0.91,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,facebook_react,finetune_fixed,,0.7909,0.7933,0.898,0.7125,0.7623,0.9167,0.88,0.95,0.57,0.6458,0.93,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,flutter_flutter,finetune_fixed,,0.6362,0.6467,0.5091,0.7059,0.6935,0.6462,0.42,0.7586,0.66,0.5811,0.86,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,kubernetes_kubernetes,finetune_fixed,,0.8107,0.81,0.77,0.9082,0.7539,0.7257,0.82,0.9271,0.89,0.7912,0.72,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,microsoft_TypeScript,finetune_fixed,,0.5959,0.5967,0.6476,0.5733,0.5667,0.6182,0.68,0.86,0.43,0.4857,0.68,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,microsoft_vscode,finetune_fixed,,0.6734,0.6733,0.6091,0.7739,0.6373,0.6186,0.6,0.7778,0.77,0.625,0.65,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,opencv_opencv,finetune_fixed,,0.6225,0.6233,0.5956,0.7526,0.5193,0.536,0.67,0.7766,0.73,0.5802,0.47,0.0,derived_from_predictions
Qwen-14B,ft,agnostic,tensorflow_tensorflow,finetune_fixed,,0.6907,0.69,0.7668,0.6309,0.6745,0.7957,0.74,0.9592,0.47,0.5548,0.86,0.01,derived_from_predictions
Qwen-14B,ft,project_specific,ansible_ansible,finetune_fixed,,0.7683,0.77,0.8276,0.7826,0.6947,0.8155,0.84,0.757,0.81,0.7333,0.66,0.0,eval_csv
Qwen-14B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,,0.5962,0.59,0.6432,0.6776,0.4679,0.6465,0.64,0.747,0.62,0.4322,0.51,0.0,eval_csv
Qwen-14B,ft,project_specific,dart-lang_sdk,finetune_fixed,,0.7228,0.7233,0.6927,0.7565,0.7193,0.7848,0.62,0.7849,0.73,0.6406,0.82,0.0,eval_csv
Qwen-14B,ft,project_specific,dotnet_roslyn,finetune_fixed,,0.5244,0.5267,0.6022,0.4575,0.5134,0.6512,0.56,0.6604,0.35,0.4161,0.67,0.0,eval_csv
Qwen-14B,ft,project_specific,facebook_react,finetune_fixed,,0.7179,0.72,0.7854,0.6957,0.6727,0.7227,0.86,0.918,0.56,0.6167,0.74,0.0,eval_csv
Qwen-14B,ft,project_specific,flutter_flutter,finetune_fixed,,0.6914,0.69,0.7222,0.7374,0.6146,0.6724,0.78,0.8354,0.66,0.6,0.63,0.0,eval_csv
Qwen-14B,ft,project_specific,kubernetes_kubernetes,finetune_fixed,,0.7268,0.73,0.6637,0.9109,0.6057,0.6016,0.74,0.902,0.92,0.7067,0.53,0.0,eval_csv
Qwen-14B,ft,project_specific,microsoft_TypeScript,finetune_fixed,,0.4339,0.4433,0.6294,0.239,0.4333,0.6392,0.62,0.322,0.19,0.3714,0.52,0.0133,eval_csv
Qwen-14B,ft,project_specific,microsoft_vscode,finetune_fixed,,0.557,0.5633,0.6133,0.6598,0.3978,0.552,0.69,0.6809,0.64,0.4444,0.36,0.0,eval_csv
Qwen-14B,ft,project_specific,opencv_opencv,finetune_fixed,,0.5185,0.5167,0.6044,0.5419,0.4091,0.544,0.68,0.7636,0.42,0.375,0.45,0.0,eval_csv
Qwen-14B,ft,project_specific,tensorflow_tensorflow,finetune_fixed,,0.7455,0.75,0.8304,0.7089,0.6972,0.75,0.93,0.9655,0.56,0.6441,0.76,0.0,eval_csv
Qwen-32B,ft,agnostic,ansible_ansible,finetune_fixed,,0.6566,0.7133,0.8376,0.7801,0.352,0.7313,0.98,0.6667,0.94,0.88,0.22,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,bitcoin_bitcoin,finetune_fixed,,0.6981,0.7067,0.7059,0.8054,0.5829,0.6923,0.72,0.7355,0.89,0.68,0.51,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,dart-lang_sdk,finetune_fixed,,0.8764,0.8767,0.88,0.8796,0.8696,0.88,0.88,0.819,0.95,0.9524,0.8,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,dotnet_roslyn,finetune_fixed,,0.6482,0.6667,0.6545,0.766,0.5241,0.6,0.72,0.6667,0.9,0.8444,0.38,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,facebook_react,finetune_fixed,,0.892,0.8933,0.9474,0.8731,0.8557,0.9083,0.99,0.8866,0.86,0.883,0.83,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,flutter_flutter,finetune_fixed,,0.7468,0.7567,0.7847,0.7932,0.6623,0.7523,0.82,0.6861,0.94,0.9444,0.51,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,kubernetes_kubernetes,finetune_fixed,,0.8108,0.82,0.8083,0.9406,0.6835,0.6929,0.97,0.9314,0.95,0.931,0.54,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,microsoft_TypeScript,finetune_fixed,,0.6455,0.6633,0.725,0.6981,0.5135,0.6214,0.87,0.6607,0.74,0.7917,0.38,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,microsoft_vscode,finetune_fixed,,0.7006,0.7133,0.7168,0.7928,0.5921,0.6429,0.81,0.7213,0.88,0.8654,0.45,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,opencv_opencv,finetune_fixed,,0.6842,0.7,0.6911,0.8309,0.5306,0.5822,0.85,0.8037,0.86,0.8298,0.39,0.0,derived_from_predictions
Qwen-32B,ft,agnostic,tensorflow_tensorflow,finetune_fixed,,0.7983,0.7967,0.835,0.8156,0.7442,0.8113,0.86,0.9241,0.73,0.6957,0.8,0.0,derived_from_predictions
Qwen-32B,ft,project_specific,ansible_ansible,finetune_fixed,,0.8188,0.8233,0.9109,0.817,0.7284,0.902,0.92,0.7111,0.96,0.9516,0.59,0.0033,eval_csv
Qwen-32B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,,0.699,0.7033,0.6633,0.8263,0.6073,0.6771,0.65,0.7788,0.88,0.6374,0.58,0.0,eval_csv
Qwen-32B,ft,project_specific,dart-lang_sdk,finetune_fixed,,0.8767,0.8767,0.8571,0.91,0.8629,0.8447,0.87,0.91,0.91,0.8763,0.85,0.0,eval_csv
Qwen-32B,ft,project_specific,dotnet_roslyn,finetune_fixed,,0.6275,0.6367,0.5132,0.7374,0.632,0.75,0.39,0.7449,0.73,0.5267,0.79,0.0,eval_csv
Qwen-32B,ft,project_specific,facebook_react,finetune_fixed,,0.7875,0.7867,0.8037,0.8352,0.7236,0.7395,0.88,0.9268,0.76,0.7273,0.72,0.0,eval_csv
