project,k,f1_macro,accuracy
kubernetes_kubernetes,9.0,0.717,0.72
kubernetes_kubernetes,10.0,0.7119,0.7167
kubernetes_kubernetes,11.0,0.7106,0.7167
kubernetes_kubernetes,12.0,0.7181,0.7233
kubernetes_kubernetes,13.0,0.7248,0.73
kubernetes_kubernetes,14.0,0.7319,0.7367
kubernetes_kubernetes,15.0,0.7307,0.7367
kubernetes_kubernetes,16.0,0.7319,0.74
kubernetes_kubernetes,17.0,0.7119,0.72
kubernetes_kubernetes,18.0,0.7178,0.7267
kubernetes_kubernetes,19.0,0.711,0.72
kubernetes_kubernetes,20.0,0.7208,0.73
kubernetes_kubernetes,25.0,0.7157,0.7267
kubernetes_kubernetes,30.0,0.709,0.7233
microsoft_TypeScript,1.0,0.5143,0.52
microsoft_TypeScript,2.0,0.5143,0.52
microsoft_TypeScript,3.0,0.5416,0.55
microsoft_TypeScript,4.0,0.5542,0.56
microsoft_TypeScript,5.0,0.5417,0.5533
microsoft_TypeScript,6.0,0.5506,0.5567
microsoft_TypeScript,7.0,0.5467,0.5533
microsoft_TypeScript,8.0,0.554,0.56
microsoft_TypeScript,9.0,0.5423,0.55
microsoft_TypeScript,10.0,0.5535,0.56
microsoft_TypeScript,11.0,0.5556,0.56
microsoft_TypeScript,12.0,0.5469,0.5533
microsoft_TypeScript,13.0,0.5559,0.56
microsoft_TypeScript,14.0,0.5476,0.5533
microsoft_TypeScript,15.0,0.5511,0.5567
microsoft_TypeScript,16.0,0.5552,0.5633
microsoft_TypeScript,17.0,0.5448,0.5533
microsoft_TypeScript,18.0,0.5557,0.5633
microsoft_TypeScript,19.0,0.5558,0.5633
microsoft_TypeScript,20.0,0.5557,0.5633
microsoft_TypeScript,25.0,0.5487,0.56
microsoft_TypeScript,30.0,0.5592,0.57
microsoft_vscode,1.0,0.5774,0.5867
microsoft_vscode,2.0,0.5774,0.5867
microsoft_vscode,3.0,0.573,0.5833
microsoft_vscode,4.0,0.5818,0.59
microsoft_vscode,5.0,0.6265,0.6333
microsoft_vscode,6.0,0.6215,0.63
microsoft_vscode,7.0,0.6293,0.6367
microsoft_vscode,8.0,0.63,0.6367
microsoft_vscode,9.0,0.6103,0.6167
microsoft_vscode,10.0,0.6209,0.6267
microsoft_vscode,11.0,0.6213,0.6267
microsoft_vscode,12.0,0.6069,0.6133
microsoft_vscode,13.0,0.624,0.63
microsoft_vscode,14.0,0.6485,0.6533
microsoft_vscode,15.0,0.6308,0.6367
microsoft_vscode,16.0,0.6272,0.6333
microsoft_vscode,17.0,0.6219,0.63
microsoft_vscode,18.0,0.6223,0.63
microsoft_vscode,19.0,0.6169,0.6267
microsoft_vscode,20.0,0.6318,0.64
microsoft_vscode,25.0,0.6098,0.6233
microsoft_vscode,30.0,0.6217,0.6333
opencv_opencv,1.0,0.5188,0.5167
opencv_opencv,2.0,0.5188,0.5167
opencv_opencv,3.0,0.5235,0.5233
opencv_opencv,4.0,0.5553,0.5567
opencv_opencv,5.0,0.5443,0.5433
opencv_opencv,6.0,0.5602,0.56
opencv_opencv,7.0,0.6097,0.61
opencv_opencv,8.0,0.5865,0.59
opencv_opencv,9.0,0.5942,0.5967
opencv_opencv,10.0,0.6011,0.6033
opencv_opencv,11.0,0.605,0.6067
opencv_opencv,12.0,0.6118,0.6133
opencv_opencv,13.0,0.6288,0.63
opencv_opencv,14.0,0.6255,0.6267
opencv_opencv,15.0,0.6329,0.6333
opencv_opencv,16.0,0.6328,0.6333
opencv_opencv,17.0,0.6304,0.63
opencv_opencv,18.0,0.6233,0.6233
opencv_opencv,19.0,0.6258,0.6267
opencv_opencv,20.0,0.6324,0.6333
opencv_opencv,25.0,0.615,0.6167
opencv_opencv,30.0,0.6354,0.64
tensorflow_tensorflow,1.0,0.4815,0.5133
tensorflow_tensorflow,2.0,0.4815,0.5133
tensorflow_tensorflow,3.0,0.4995,0.53
tensorflow_tensorflow,4.0,0.5072,0.54
tensorflow_tensorflow,5.0,0.4899,0.5267
tensorflow_tensorflow,6.0,0.4802,0.52
tensorflow_tensorflow,7.0,0.4866,0.5233
tensorflow_tensorflow,8.0,0.4588,0.5033
tensorflow_tensorflow,9.0,0.4867,0.5233
tensorflow_tensorflow,10.0,0.4848,0.5233
tensorflow_tensorflow,11.0,0.4831,0.5233
tensorflow_tensorflow,12.0,0.4725,0.5133
tensorflow_tensorflow,13.0,0.453,0.5
tensorflow_tensorflow,14.0,0.4459,0.4933
tensorflow_tensorflow,15.0,0.4626,0.51
tensorflow_tensorflow,16.0,0.459,0.5067
tensorflow_tensorflow,17.0,0.4399,0.4933
tensorflow_tensorflow,18.0,0.4237,0.48
tensorflow_tensorflow,19.0,0.415,0.4767
tensorflow_tensorflow,20.0,0.4182,0.48
tensorflow_tensorflow,25.0,0.4078,0.47
tensorflow_tensorflow,30.0,0.4028,0.4667
