setting,project,k_label,wall_time_s,issues_per_second,total_issues,total_prompt_tokens,total_generated_tokens,gpu_peak_memory_mb
project_specific,dart-lang_sdk,k9,0.0006,478074.2,300,0,0,0.0
project_specific,dart-lang_sdk,k10,0.0006,475185.5,300,0,0,0.0
project_specific,dart-lang_sdk,k11,0.0006,487332.0,300,0,0,0.0
project_specific,dart-lang_sdk,k12,0.0007,448588.7,300,0,0,0.0
project_specific,dart-lang_sdk,k13,0.0007,437818.8,300,0,0,0.0
project_specific,dart-lang_sdk,k14,0.0007,430479.4,300,0,0,0.0
project_specific,dart-lang_sdk,k15,0.0007,423097.2,300,0,0,0.0
project_specific,dart-lang_sdk,k16,0.0007,416101.6,300,0,0,0.0
project_specific,dart-lang_sdk,k17,0.0007,425961.8,300,0,0,0.0
project_specific,dart-lang_sdk,k18,0.0007,410401.6,300,0,0,0.0
project_specific,dart-lang_sdk,k19,0.0007,402138.4,300,0,0,0.0
project_specific,dart-lang_sdk,k20,0.0008,371506.1,300,0,0,0.0
project_specific,dart-lang_sdk,k25,0.0009,343045.6,300,0,0,0.0
project_specific,dart-lang_sdk,k30,0.0011,264903.4,300,0,0,0.0
project_specific,dotnet_roslyn,k1,0.0003,1122472.1,300,0,0,0.0
project_specific,dotnet_roslyn,k2,0.0005,639050.9,300,0,0,0.0
project_specific,dotnet_roslyn,k3,0.0005,609637.2,300,0,0,0.0
project_specific,dotnet_roslyn,k4,0.0006,530700.6,300,0,0,0.0
project_specific,dotnet_roslyn,k5,0.0006,501711.0,300,0,0,0.0
project_specific,dotnet_roslyn,k6,0.0006,514217.9,300,0,0,0.0
project_specific,dotnet_roslyn,k7,0.0006,504325.1,300,0,0,0.0
project_specific,dotnet_roslyn,k8,0.0006,497151.8,300,0,0,0.0
project_specific,dotnet_roslyn,k9,0.0006,489607.5,300,0,0,0.0
project_specific,dotnet_roslyn,k10,0.0006,473397.7,300,0,0,0.0
project_specific,dotnet_roslyn,k11,0.0007,457726.9,300,0,0,0.0
project_specific,dotnet_roslyn,k12,0.0007,448908.7,300,0,0,0.0
project_specific,dotnet_roslyn,k13,0.0007,440423.9,300,0,0,0.0
project_specific,dotnet_roslyn,k14,0.0007,444155.0,300,0,0,0.0
project_specific,dotnet_roslyn,k15,0.0008,382110.9,300,0,0,0.0
project_specific,dotnet_roslyn,k16,0.0007,405769.5,300,0,0,0.0
project_specific,dotnet_roslyn,k17,0.0008,378433.4,300,0,0,0.0
project_specific,dotnet_roslyn,k18,0.0008,392602.6,300,0,0,0.0
project_specific,dotnet_roslyn,k19,0.0008,362306.7,300,0,0,0.0
project_specific,dotnet_roslyn,k20,0.0008,377638.4,300,0,0,0.0
project_specific,dotnet_roslyn,k25,0.001,314651.5,300,0,0,0.0
project_specific,dotnet_roslyn,k30,0.001,296906.8,300,0,0,0.0
project_specific,facebook_react,k1,0.0003,1106676.5,300,0,0,0.0
project_specific,facebook_react,k2,0.0005,652640.7,300,0,0,0.0
project_specific,facebook_react,k3,0.0005,590469.8,300,0,0,0.0
project_specific,facebook_react,k4,0.0005,563750.5,300,0,0,0.0
project_specific,facebook_react,k5,0.0006,524944.2,300,0,0,0.0
project_specific,facebook_react,k6,0.0006,526702.1,300,0,0,0.0
project_specific,facebook_react,k7,0.0006,516116.2,300,0,0,0.0
project_specific,facebook_react,k8,0.0006,538421.6,300,0,0,0.0
project_specific,facebook_react,k9,0.0006,514638.5,300,0,0,0.0
project_specific,facebook_react,k10,0.0006,504123.1,300,0,0,0.0
project_specific,facebook_react,k11,0.0006,501911.1,300,0,0,0.0
project_specific,facebook_react,k12,0.0007,453274.9,300,0,0,0.0
project_specific,facebook_react,k13,0.0006,462947.5,300,0,0,0.0
project_specific,facebook_react,k14,0.0007,442592.8,300,0,0,0.0
project_specific,facebook_react,k15,0.0007,456730.0,300,0,0,0.0
project_specific,facebook_react,k16,0.0007,439500.9,300,0,0,0.0
project_specific,facebook_react,k17,0.0007,439654.5,300,0,0,0.0
project_specific,facebook_react,k18,0.0007,411340.7,300,0,0,0.0
project_specific,facebook_react,k19,0.0007,409067.4,300,0,0,0.0
project_specific,facebook_react,k20,0.0008,394943.9,300,0,0,0.0
project_specific,facebook_react,k25,0.0009,349816.8,300,0,0,0.0
project_specific,facebook_react,k30,0.001,300595.1,300,0,0,0.0
project_specific,flutter_flutter,k1,0.0003,1019684.9,300,0,0,0.0
project_specific,flutter_flutter,k2,0.0005,660520.3,300,0,0,0.0
project_specific,flutter_flutter,k3,0.0005,557259.2,300,0,0,0.0
project_specific,flutter_flutter,k4,0.0006,506966.6,300,0,0,0.0
project_specific,flutter_flutter,k5,0.0006,532948.4,300,0,0,0.0
project_specific,flutter_flutter,k6,0.0006,515693.1,300,0,0,0.0
project_specific,flutter_flutter,k7,0.0006,469511.6,300,0,0,0.0
project_specific,flutter_flutter,k8,0.0006,500513.6,300,0,0,0.0
project_specific,flutter_flutter,k9,0.0006,474111.2,300,0,0,0.0
project_specific,flutter_flutter,k10,0.0007,417205.3,300,0,0,0.0
project_specific,flutter_flutter,k11,0.0006,484890.6,300,0,0,0.0
project_specific,flutter_flutter,k12,0.0006,469161.5,300,0,0,0.0
project_specific,flutter_flutter,k13,0.0007,457893.4,300,0,0,0.0
project_specific,flutter_flutter,k14,0.0007,455572.5,300,0,0,0.0
project_specific,flutter_flutter,k15,0.0007,441196.1,300,0,0,0.0
project_specific,flutter_flutter,k16,0.0007,424095.4,300,0,0,0.0
project_specific,flutter_flutter,k17,0.0008,395813.5,300,0,0,0.0
project_specific,flutter_flutter,k18,0.0008,363668.0,300,0,0,0.0
project_specific,flutter_flutter,k19,0.0007,401753.3,300,0,0,0.0
project_specific,flutter_flutter,k20,0.0008,390652.3,300,0,0,0.0
project_specific,flutter_flutter,k25,0.0009,345020.9,300,0,0,0.0
project_specific,flutter_flutter,k30,0.0011,281496.9,300,0,0,0.0
project_specific,kubernetes_kubernetes,k1,0.0002,1281355.6,300,0,0,0.0
project_specific,kubernetes_kubernetes,k2,0.0005,642969.4,300,0,0,0.0
project_specific,kubernetes_kubernetes,k3,0.0005,641657.9,300,0,0,0.0
project_specific,kubernetes_kubernetes,k4,0.0005,559738.1,300,0,0,0.0
project_specific,kubernetes_kubernetes,k5,0.0006,512751.1,300,0,0,0.0
project_specific,kubernetes_kubernetes,k6,0.0005,578524.7,300,0,0,0.0
project_specific,kubernetes_kubernetes,k7,0.0006,530700.6,300,0,0,0.0
project_specific,kubernetes_kubernetes,k8,0.0006,532497.3,300,0,0,0.0
project_specific,kubernetes_kubernetes,k9,0.0005,550915.6,300,0,0,0.0
project_specific,kubernetes_kubernetes,k10,0.0006,471800.2,300,0,0,0.0
project_specific,kubernetes_kubernetes,k11,0.0006,503115.2,300,0,0,0.0
project_specific,kubernetes_kubernetes,k12,0.0006,475185.5,300,0,0,0.0
project_specific,kubernetes_kubernetes,k13,0.0006,465172.3,300,0,0,0.0
project_specific,kubernetes_kubernetes,k14,0.0007,443841.7,300,0,0,0.0
project_specific,kubernetes_kubernetes,k15,0.0007,444625.9,300,0,0,0.0
project_specific,kubernetes_kubernetes,k16,0.0006,463971.7,300,0,0,0.0
project_specific,kubernetes_kubernetes,k17,0.0007,432848.7,300,0,0,0.0
project_specific,kubernetes_kubernetes,k18,0.0007,431808.9,300,0,0,0.0
project_specific,kubernetes_kubernetes,k19,0.0007,403557.2,300,0,0,0.0
