model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,False,300.0,2.0,0.0067,0.8,0.7998,0.8296,0.8,0.7998,0.8296,0.8,0.8069,0.7068,0.94,100.0,0.8426,0.8557,0.83,100.0,0.75,0.9265,0.63,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.7433,0.7418,0.7612,0.7433,0.7418,0.7612,0.7433,0.7692,0.6716,0.9,100.0,0.7753,0.8846,0.69,100.0,0.6809,0.7273,0.64,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.76,0.7602,0.7605,0.76,0.7602,0.7605,0.76,0.7525,0.7451,0.76,100.0,0.8182,0.8265,0.81,100.0,0.71,0.71,0.71,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,False,300.0,0.0,0.0,0.7733,0.7731,0.7734,0.7733,0.7731,0.7734,0.7733,0.761,0.7429,0.78,100.0,0.83,0.83,0.83,100.0,0.7282,0.7474,0.71,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,False,300.0,1.0,0.0033,0.7767,0.7776,0.7787,0.7767,0.7776,0.7787,0.7767,0.7538,0.7576,0.75,100.0,0.8317,0.8235,0.84,100.0,0.7475,0.7551,0.74,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ft,finetune_fixed,,False,300.0,18.0,0.06,0.6833,0.6944,0.7453,0.6833,0.6944,0.7453,0.6833,0.7411,0.6694,0.83,100.0,0.7525,0.7451,0.76,100.0,0.5897,0.8214,0.46,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k1,1.0,False,300.0,0.0,0.0,0.7733,0.7721,0.8125,0.7733,0.7721,0.8125,0.7733,0.7705,0.6528,0.94,100.0,0.8063,0.8462,0.77,100.0,0.7394,0.9385,0.61,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k3,3.0,False,300.0,0.0,0.0,0.7967,0.7948,0.8194,0.7967,0.7948,0.8194,0.7967,0.7931,0.697,0.92,100.0,0.8384,0.8469,0.83,100.0,0.7529,0.9143,0.64,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k6,6.0,False,300.0,2.0,0.0067,0.8,0.8012,0.8244,0.8,0.8012,0.8244,0.8,0.8,0.72,0.9,100.0,0.8317,0.8235,0.84,100.0,0.7719,0.9296,0.66,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,False,300.0,2.0,0.0067,0.8033,0.8023,0.8287,0.8033,0.8023,0.8287,0.8033,0.8214,0.7419,0.92,100.0,0.8309,0.8037,0.86,100.0,0.7545,0.9403,0.63,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.79,0.7912,0.8307,0.79,0.7912,0.8307,0.79,0.7755,0.6552,0.95,100.0,0.8216,0.8941,0.76,100.0,0.7765,0.9429,0.66,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.8167,0.8153,0.8395,0.8167,0.8153,0.8395,0.8167,0.8139,0.7176,0.94,100.0,0.8485,0.8571,0.84,100.0,0.7836,0.9437,0.67,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,False,300.0,0.0,0.0,0.7933,0.7922,0.8107,0.7933,0.7922,0.8107,0.7933,0.7876,0.7063,0.89,100.0,0.8259,0.8218,0.83,100.0,0.763,0.9041,0.66,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,False,300.0,1.0,0.0033,0.8067,0.8058,0.8205,0.8067,0.8058,0.8205,0.8067,0.8186,0.7652,0.88,100.0,0.8286,0.7909,0.87,100.0,0.7701,0.9054,0.67,100.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
,,project_specific,dart-lang_sdk,vtag,k1,1.0,False,300.0,0.0,0.0,0.5667,0.5556,0.5654,0.5667,0.5556,0.5654,0.5667,0.6438,0.5639,0.75,100.0,0.58,0.58,0.58,100.0,0.4431,0.5522,0.37,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k1.csv,1.0
,,project_specific,dart-lang_sdk,vtag,k10,10.0,False,300.0,0.0,0.0,0.6133,0.5938,0.6331,0.6133,0.5938,0.6331,0.6133,0.6926,0.5669,0.89,100.0,0.6283,0.6593,0.6,100.0,0.4605,0.6731,0.35,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k10.csv,10.0
,,project_specific,dart-lang_sdk,vtag,k11,11.0,False,300.0,0.0,0.0,0.6133,0.5931,0.6452,0.6133,0.5931,0.6452,0.6133,0.6846,0.5562,0.89,100.0,0.6321,0.6559,0.61,100.0,0.4626,0.7234,0.34,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k11.csv,11.0
,,project_specific,dart-lang_sdk,vtag,k12,12.0,False,300.0,0.0,0.0,0.6067,0.5866,0.6378,0.6067,0.5866,0.6378,0.6067,0.6794,0.5494,0.89,100.0,0.6211,0.6556,0.59,100.0,0.4595,0.7083,0.34,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k12.csv,12.0
,,project_specific,dart-lang_sdk,vtag,k13,13.0,False,300.0,0.0,0.0,0.61,0.5884,0.6394,0.61,0.5884,0.6394,0.61,0.692,0.5583,0.91,100.0,0.6138,0.6517,0.58,100.0,0.4595,0.7083,0.34,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k13.csv,13.0
,,project_specific,dart-lang_sdk,vtag,k14,14.0,False,300.0,0.0,0.0,0.61,0.5857,0.6457,0.61,0.5857,0.6457,0.61,0.6963,0.5529,0.94,100.0,0.6087,0.6667,0.56,100.0,0.4521,0.7174,0.33,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k14.csv,14.0
,,project_specific,dart-lang_sdk,vtag,k15,15.0,False,300.0,0.0,0.0,0.6167,0.5909,0.6551,0.6167,0.5909,0.6551,0.6167,0.7011,0.5556,0.95,100.0,0.627,0.6824,0.58,100.0,0.4444,0.7273,0.32,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k15.csv,15.0
,,project_specific,dart-lang_sdk,vtag,k16,16.0,False,300.0,0.0,0.0,0.6033,0.5777,0.6483,0.6033,0.5777,0.6483,0.6033,0.6765,0.5349,0.92,100.0,0.631,0.6782,0.59,100.0,0.4255,0.7317,0.3,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k16.csv,16.0
,,project_specific,dart-lang_sdk,vtag,k17,17.0,False,300.0,0.0,0.0,0.61,0.5835,0.6571,0.61,0.5835,0.6571,0.61,0.6836,0.5371,0.94,100.0,0.6413,0.7024,0.59,100.0,0.4255,0.7317,0.3,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k17.csv,17.0
,,project_specific,dart-lang_sdk,vtag,k18,18.0,False,300.0,0.0,0.0,0.61,0.5768,0.6646,0.61,0.5768,0.6646,0.61,0.6857,0.5333,0.96,100.0,0.6595,0.7176,0.61,100.0,0.3852,0.7429,0.26,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k18.csv,18.0
,,project_specific,dart-lang_sdk,vtag,k19,19.0,False,300.0,0.0,0.0,0.5967,0.5638,0.6468,0.5967,0.5638,0.6468,0.5967,0.6786,0.5278,0.95,100.0,0.6304,0.6905,0.58,100.0,0.3824,0.7222,0.26,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k19.csv,19.0
,,project_specific,dart-lang_sdk,vtag,k2,2.0,False,300.0,0.0,0.0,0.5667,0.5556,0.5654,0.5667,0.5556,0.5654,0.5667,0.6438,0.5639,0.75,100.0,0.58,0.58,0.58,100.0,0.4431,0.5522,0.37,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k2.csv,2.0
,,project_specific,dart-lang_sdk,vtag,k20,20.0,False,300.0,0.0,0.0,0.61,0.5782,0.6601,0.61,0.5782,0.6601,0.61,0.6882,0.5363,0.96,100.0,0.6522,0.7143,0.6,100.0,0.3942,0.7297,0.27,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k20.csv,20.0
,,project_specific,dart-lang_sdk,vtag,k25,25.0,False,300.0,0.0,0.0,0.6133,0.5785,0.6685,0.6133,0.5785,0.6685,0.6133,0.6859,0.5367,0.95,100.0,0.6737,0.7111,0.64,100.0,0.3759,0.7576,0.25,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k25.csv,25.0
,,project_specific,dart-lang_sdk,vtag,k3,3.0,False,300.0,0.0,0.0,0.5867,0.5741,0.5916,0.5867,0.5741,0.5916,0.5867,0.6612,0.5586,0.81,100.0,0.6032,0.6404,0.57,100.0,0.4578,0.5758,0.38,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k3.csv,3.0
,,project_specific,dart-lang_sdk,vtag,k30,30.0,False,300.0,0.0,0.0,0.58,0.5338,0.6531,0.58,0.5338,0.6531,0.58,0.6552,0.5,0.95,100.0,0.6559,0.7093,0.61,100.0,0.2903,0.75,0.18,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k30.csv,30.0
,,project_specific,dart-lang_sdk,vtag,k4,4.0,False,300.0,0.0,0.0,0.59,0.5728,0.5973,0.59,0.5728,0.5973,0.59,0.6667,0.557,0.83,100.0,0.6186,0.6383,0.6,100.0,0.4331,0.5965,0.34,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k4.csv,4.0
,,project_specific,dart-lang_sdk,vtag,k5,5.0,False,300.0,0.0,0.0,0.6,0.5838,0.6066,0.6,0.5838,0.6066,0.6,0.6802,0.5714,0.84,100.0,0.6186,0.6383,0.6,100.0,0.4528,0.6102,0.36,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k5.csv,5.0
,,project_specific,dart-lang_sdk,vtag,k6,6.0,False,300.0,0.0,0.0,0.6033,0.589,0.6109,0.6033,0.589,0.6109,0.6033,0.6802,0.5714,0.84,100.0,0.6178,0.6484,0.59,100.0,0.4691,0.6129,0.38,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k6.csv,6.0
,,project_specific,dart-lang_sdk,vtag,k7,7.0,False,300.0,0.0,0.0,0.6233,0.6055,0.635,0.6233,0.6055,0.635,0.6233,0.7063,0.5855,0.89,100.0,0.6387,0.6703,0.61,100.0,0.4713,0.6491,0.37,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k7.csv,7.0
,,project_specific,dart-lang_sdk,vtag,k8,8.0,False,300.0,0.0,0.0,0.6167,0.597,0.6376,0.6167,0.597,0.6376,0.6167,0.6953,0.5705,0.89,100.0,0.6321,0.6559,0.61,100.0,0.4636,0.6863,0.35,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k8.csv,8.0
,,project_specific,dart-lang_sdk,vtag,k9,9.0,False,300.0,0.0,0.0,0.6367,0.6239,0.6591,0.6367,0.6239,0.6591,0.6367,0.7012,0.5828,0.88,100.0,0.6387,0.6703,0.61,100.0,0.5316,0.7241,0.42,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag/evaluations/eval_k9.csv,9.0
,,project_specific,dart-lang_sdk,vtag_debias,k1,1.0,False,300.0,0.0,0.0,0.5667,0.5556,0.5654,0.5667,0.5556,0.5654,0.5667,0.6438,0.5639,0.75,100.0,0.58,0.58,0.58,100.0,0.4431,0.5522,0.37,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/evaluations/eval_k1.csv,1.0
,,project_specific,dart-lang_sdk,vtag_debias,k3,3.0,False,300.0,0.0,0.0,0.56,0.5557,0.6276,0.56,0.5557,0.6276,0.56,0.5278,0.8636,0.38,100.0,0.5785,0.493,0.7,100.0,0.5607,0.5263,0.6,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/evaluations/eval_k3.csv,3.0
,,project_specific,dart-lang_sdk,vtag_debias,k6,6.0,False,300.0,0.0,0.0,0.5967,0.5996,0.6238,0.5967,0.5996,0.6238,0.5967,0.6429,0.7941,0.54,100.0,0.5982,0.5403,0.67,100.0,0.5577,0.537,0.58,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/evaluations/eval_k6.csv,6.0
,,project_specific,dart-lang_sdk,vtag_debias,k9,9.0,False,300.0,0.0,0.0,0.6333,0.6337,0.6394,0.6333,0.6337,0.6394,0.6333,0.6845,0.7356,0.64,100.0,0.6422,0.5932,0.7,100.0,0.5744,0.5895,0.56,100.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/evaluations/eval_k9.csv,9.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,False,300.0,0.0,0.0,0.5267,0.5244,0.5759,0.5267,0.5244,0.5759,0.5267,0.6022,0.6512,0.56,100.0,0.4575,0.6604,0.35,100.0,0.5134,0.4161,0.67,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,False,300.0,0.0,0.0,0.63,0.5938,0.6779,0.63,0.5938,0.6779,0.63,0.6391,0.512,0.85,100.0,0.8039,0.7885,0.82,100.0,0.3385,0.7333,0.22,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,False,300.0,0.0,0.0,0.6433,0.6129,0.6793,0.6433,0.6129,0.6793,0.6433,0.6564,0.5346,0.85,100.0,0.8,0.781,0.82,100.0,0.3824,0.7222,0.26,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,False,300.0,2.0,0.0067,0.6467,0.6241,0.6912,0.6467,0.6241,0.6912,0.6467,0.6589,0.538,0.85,100.0,0.796,0.7921,0.8,100.0,0.4173,0.7436,0.29,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,False,300.0,4.0,0.0133,0.63,0.6111,0.6618,0.63,0.6111,0.6618,0.63,0.6454,0.5364,0.81,100.0,0.7822,0.7745,0.79,100.0,0.4056,0.6744,0.29,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.6333,0.5956,0.6768,0.6333,0.5956,0.6768,0.6333,0.6464,0.5215,0.85,100.0,0.8019,0.7757,0.83,100.0,0.3385,0.7333,0.22,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.65,0.6207,0.6864,0.65,0.6207,0.6864,0.65,0.6641,0.5409,0.86,100.0,0.8039,0.7885,0.82,100.0,0.3942,0.7297,0.27,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,True,300.0,1.0,0.0033,0.6667,0.6501,0.6996,0.6667,0.6501,0.6996,0.6667,0.672,0.56,0.84,100.0,0.802,0.7941,0.81,100.0,0.4762,0.7447,0.35,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,True,300.0,3.0,0.01,0.6767,0.6683,0.7049,0.6767,0.6683,0.7049,0.6767,0.6778,0.5827,0.81,100.0,0.798,0.7864,0.81,100.0,0.529,0.7455,0.41,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,False,300.0,0.0,0.0,0.6367,0.6275,0.6739,0.6367,0.6275,0.6739,0.6367,0.5132,0.75,0.39,100.0,0.7374,0.7449,0.73,100.0,0.632,0.5267,0.79,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,True,300.0,0.0,0.0,0.6633,0.6396,0.6995,0.6633,0.6396,0.6995,0.6633,0.6693,0.5519,0.85,100.0,0.8098,0.7905,0.83,100.0,0.4397,0.7561,0.31,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,True,300.0,0.0,0.0,0.6767,0.6606,0.7063,0.6767,0.6606,0.7063,0.6767,0.6774,0.5676,0.84,100.0,0.8079,0.7961,0.82,100.0,0.4966,0.7551,0.37,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,True,300.0,2.0,0.0067,0.68,0.6708,0.714,0.68,0.6708,0.714,0.68,0.6803,0.5764,0.83,100.0,0.796,0.7921,0.8,100.0,0.5359,0.7736,0.41,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,True,300.0,4.0,0.0133,0.67,0.6653,0.6985,0.67,0.6653,0.6985,0.67,0.6582,0.5693,0.78,100.0,0.806,0.802,0.81,100.0,0.5316,0.7241,0.42,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.65,0.6253,0.6851,0.65,0.6253,0.6851,0.65,0.6587,0.5461,0.83,100.0,0.7885,0.7593,0.82,100.0,0.4286,0.75,0.3,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.68,0.6639,0.707,0.68,0.6639,0.707,0.68,0.6911,0.5822,0.85,100.0,0.7941,0.7788,0.81,100.0,0.5067,0.76,0.38,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,True,300.0,1.0,0.0033,0.6867,0.6771,0.719,0.6867,0.6771,0.719,0.6867,0.6857,0.5793,0.84,100.0,0.8,0.8,0.8,100.0,0.5455,0.7778,0.42,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,True,300.0,3.0,0.01,0.68,0.677,0.6983,0.68,0.677,0.6983,0.68,0.6667,0.5878,0.77,100.0,0.81,0.81,0.81,100.0,0.5542,0.697,0.46,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,zero_shot,0.0,True,300.0,0.0,0.0,0.64,0.6101,0.6753,0.64,0.6101,0.6753,0.64,0.6426,0.5369,0.8,100.0,0.7907,0.7391,0.85,100.0,0.3971,0.75,0.27,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_zero_shot.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,False,300.0,1.0,0.0033,0.5067,0.5071,0.5076,0.5067,0.5071,0.5076,0.5067,0.5616,0.5534,0.57,100.0,0.5657,0.5714,0.56,100.0,0.3939,0.398,0.39,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,False,300.0,0.0,0.0,0.6133,0.5974,0.6233,0.6133,0.5974,0.6233,0.6133,0.6109,0.5252,0.73,100.0,0.75,0.7222,0.78,100.0,0.4314,0.6226,0.33,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,False,300.0,0.0,0.0,0.6133,0.5988,0.614,0.6133,0.5988,0.614,0.6133,0.6276,0.5396,0.75,100.0,0.7562,0.7525,0.76,100.0,0.4125,0.55,0.33,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,False,300.0,2.0,0.0067,0.5733,0.5613,0.5793,0.5733,0.5613,0.5793,0.5733,0.5844,0.4965,0.71,100.0,0.7347,0.75,0.72,100.0,0.3648,0.4915,0.29,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,False,300.0,4.0,0.0133,0.5833,0.5683,0.5934,0.5833,0.5683,0.5934,0.5833,0.5959,0.5034,0.73,100.0,0.7538,0.7576,0.75,100.0,0.3553,0.5192,0.27,100.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
