model,model_tag,setting,project,approach,k_label,k,cost_path
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k10,10.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k11,11.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k12,12.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k13,13.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k14,14.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k15,15.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k16,16.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k17,17.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k18,18.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k19,19.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k2,2.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k20,20.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k25,25.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k30,30.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k4,4.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k5,5.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k7,7.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k8,8.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag_debias,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag_debias,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag_debias,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,bitcoin_bitcoin,vtag_debias,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ft,finetune_fixed,,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ft,finetune_fixed,,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,zero_shot,0.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ft,finetune_fixed,,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ft,finetune_fixed,,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dart-lang_sdk,ragtag_debias,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k10,10.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k11,11.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k12,12.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k13,13.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k14,14.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k15,15.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k16,16.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k17,17.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k18,18.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k19,19.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k2,2.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k20,20.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k25,25.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k30,30.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k4,4.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k5,5.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k7,7.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k8,8.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag_debias,k1,1.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag_debias,k3,3.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag_debias,k6,6.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dart-lang_sdk,vtag_debias,k9,9.0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,zero_shot,0.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
