model,params_b,setting,zero_shot_ag,ragtag_best,ragtag_best_k,ft,debias_best,debias_best_k
Qwen-3B,3.0,agnostic,0.6132,0.6944,k3,0.652,,
Qwen-3B,3.0,project_specific,0.6132,0.693890909090909,k3,0.5754272727272727,0.7089181818181818,k6
Qwen-7B,7.0,agnostic,0.6621,0.7122,k6,0.7411,,
Qwen-7B,7.0,project_specific,0.6621,0.7142272727272727,k6,0.5113454545454545,0.7299272727272726,k6
Qwen-14B,14.0,agnostic,0.6452,0.717,k9,0.7154,,
Qwen-14B,14.0,project_specific,0.6452,0.7165181818181818,k9,0.6366090909090909,0.7418363636363636,k9
Qwen-32B,32.0,agnostic,0.6876,0.7594,k9,0.7462,,
Qwen-32B,32.0,project_specific,0.6876,0.7579272727272727,k9,0.7130272727272727,0.7745272727272727,k9
